	dHEP_520_A_NT	dHEP_550_A_NT	F_F_158_NC_NT	dHEP_549_A_NT	F_F_503_A_NT	dHEP_165_NC_NT	F_F_595_A_NT	F_F_523_A_NT	F_F_157_NC_NT	dHEP_518_A_NT	dHEP_164_NC_NT	dHEP_155_NC_NT	F_F_159_NC_NT	F_F_581_A_NT
Gnai3	6.48250070802	6.64827152835	6.64425721943	6.73410314653	6.55768501107	6.67289247065	6.70792485523	6.5912404055	6.63216807933	6.48305417471	6.81547961001	6.66707529687	6.76843266713	6.70806699977
Cdc45	0.779112501133	0.881495947988	0.0266060999984	0.0366822515012	0.688222822036	0.222011155376	0.281180879447	0.493432395703	0.192386656069	1.32526615243	1.16078489598	0.731233327569	0.930572122501	0.931043324033
Apoh	10.437361973	10.2858675511	10.6830667174	10.4624454768	10.2048357129	10.5588747185	10.2895694817	10.0324674288	10.643057883	10.3644028052	10.5332931889	10.5516279362	10.8318099718	10.3463152264
Narf	5.99022413711	6.08928913502	5.15258775385	6.28047714957	6.09305285613	6.27772741889	6.37770780313	5.90246216147	5.91250874007	6.1448370242	6.15263196113	5.55106718891	5.92538922481	6.13772469038
Cav2	1.73231828965	2.22172485962	2.06925043741	2.19962082263	1.6344515656	2.14801057393	2.39030260183	2.23346429292	1.22633398799	1.18087624309	2.26347055995	2.41659772525	1.76801910971	2.58687613116
Klf6	4.06687399287	3.9005542838	4.3045908473	3.80313914238	4.92872331758	3.67091210652	4.11479386784	4.71527657647	3.82797522986	4.28167688388	3.10656450498	3.95223251361	3.67579181788	4.9179352378
Scmh1	2.84657546891	3.03426622839	3.24693605488	3.16417198662	3.46509713764	2.99600748049	2.37106638296	3.25625615779	3.36231165751	3.51289315561	2.66467578605	3.08402238616	3.25250021739	2.61709074421
Cox5a	6.29612008525	6.39635686374	6.10641085463	6.45343389259	6.24878866845	6.38769803241	6.52080804752	6.01899485364	6.2039121122	6.30581378976	6.19061429062	6.15749808227	6.40217538356	6.44919893922
Tbx2	1.29061283991	1.05482755087	2.150934235	1.92251123158	1.77361431327	1.60052277863	1.26042231928	1.53875638621	1.68271228265	1.94789907112	1.85940417849	2.12169280413	1.50762942514	1.50036713791
Ngfr	1.15526098702	1.43543155309	2.43803234572	1.44385763301	2.71437510989	2.42364501655	0.766607706617	2.15801206449	1.86615842375	2.44601831189	1.49683409911	2.39214468152	1.94234929028	2.28202154963
Wnt9a	-1.0750366324	0.184888091438	-0.710359494168	-0.0945622817771	0.0855583195817	0.101716921658	-0.760639296248	0.148296909654	0.443925423065	-0.0081575812955	-0.246390485528	-1.30829503662	-1.29972549692	-0.727438779617
Fer	3.67985086976	3.80668736034	3.90238616307	3.83053290921	3.73581228055	3.94009873934	3.49619377042	3.55722904628	3.42212105275	3.7700509951	3.96813981804	4.0648117822	3.79099767349	3.99330050013
Xpo6	5.55656019782	5.49808389396	5.68538883401	5.4600265699	5.73261694139	5.49552704508	5.45453678629	5.73893453165	5.65649476192	5.88228911138	5.36575684452	5.44510744736	5.54189932722	5.67658231766
Tfe3	4.20466322709	4.57720551422	4.42987382234	4.40490399866	4.6275870243	4.49999590268	4.62153967974	4.6305870632	4.60420025447	4.54520292204	4.65000773626	4.50191953958	4.59415938886	4.47790434095
Axin2	3.36918189229	2.44584816903	4.34263595852	2.28130462022	3.14445200864	2.96185925808	2.60310897433	3.62183812771	3.36231165751	3.27279873254	2.6479000733	2.53858824963	2.54549432496	2.72729125033
Brat1	3.8207134056	3.80668736034	3.83807713053	3.78458332335	3.48548892647	3.94884237241	3.66365051627	3.71033301353	3.60096913321	3.9064069422	3.8336739034	3.68668688862	3.6687197692	3.77617776603
Gna12	7.18018808556	7.04907423609	6.59777320521	6.97777835312	7.11605789282	6.40630732094	6.78762505065	6.70892925211	7.0269510083	7.35056921352	6.38389088631	6.06262480988	6.71839334674	6.81277288808
Slc22a18	6.36981898439	6.31772017546	6.35357481159	6.48250681679	6.47851171109	6.4977632042	6.13132305783	6.30023907719	6.52543549119	6.59056491838	6.49037907697	6.44733440181	6.58526683653	6.45978304531
Itgb2l	2.36407500185	2.06837408271	1.95260551855	1.95606379129	1.00309615939	1.46079801496	2.48281474062	2.05778461675	2.42942585337	1.61477276962	2.14891079569	2.09163557027	2.17974387495	1.56379251805
Igsf5	4.44126950765	4.94712692182	4.64719251045	4.91613231902	4.55225793868	4.80456715839	4.84014817163	4.58450197643	4.91120490352	4.58877756109	4.97991698581	4.85493531225	4.90522178996	4.98897457473
